,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
0,06037101110.0,0,23,0,0,0,0,0,0,114,0,8,0,82,0,0,80,0,0,0,0,0,6,0,0,0,0,0,Los Angeles,2019,4283.0
1,06037101110.0,0,26,0,0,0,0,0,0,70,0,46,0,139,0,0,96,0,0,0,0,0,24,0,0,0,0,2,Los Angeles,2020,4283.0
2,06037101110.0,0,28,0,0,0,0,0,0,60,0,28,0,124,0,0,74,0,0,0,0,0,9,0,0,0,0,0,Los Angeles,2021,4283.0
3,06037101110.0,0,24,0,0,0,0,0,0,77,0,14,0,99,0,0,70,0,0,0,0,0,25,0,0,0,0,2,Los Angeles,2022,4283.0
4,06037101122.0,0,9,0,0,0,0,0,0,13,0,1,0,51,0,0,63,0,0,0,0,0,6,0,0,0,0,2,Los Angeles,2019,3405.0
5,06037101122.0,0,20,0,0,0,0,0,0,16,0,4,0,58,0,0,71,0,0,0,0,0,5,0,0,0,0,3,Los Angeles,2020,3405.0
6,06037101122.0,0,17,0,0,0,0,0,0,24,0,0,0,60,0,0,68,0,0,0,0,0,9,0,0,0,0,1,Los Angeles,2021,3405.0
7,06037101122.0,0,12,0,0,0,0,0,0,26,0,9,0,48,0,0,71,0,0,0,0,0,48,0,0,0,0,1,Los Angeles,2022,3405.0
8,06037101210.0,0,18,0,0,0,0,0,0,225,0,15,0,294,0,0,77,0,0,0,0,0,3,0,0,0,0,0,Los Angeles,2019,6347.0
9,06037101210.0,0,19,0,0,0,0,0,0,197,0,13,0,419,0,0,62,0,0,0,0,0,12,0,0,0,0,0,Los Angeles,2020,6347.0
10,06037101210.0,0,14,0,0,0,0,0,0,233,0,3,0,473,0,0,71,0,0,0,0,0,9,0,0,0,0,0,Los Angeles,2021,6347.0
11,06037101210.0,0,24,0,0,0,0,0,0,146,0,58,0,252,0,0,52,0,0,0,0,0,75,0,0,0,0,0,Los Angeles,2022,6347.0
12,06037101220.0,0,17,0,0,0,0,0,0,70,0,1,0,123,0,0,39,0,0,0,0,0,4,0,0,0,0,0,Los Angeles,2019,3702.0
13,06037101220.0,0,10,0,0,0,0,0,0,31,0,2,0,113,0,0,41,0,0,0,0,0,3,0,0,0,0,0,Los Angeles,2020,3702.0
14,06037101220.0,0,23,0,0,0,0,0,0,53,0,4,0,128,0,0,53,0,0,0,0,0,3,0,0,0,0,0,Los Angeles,2021,3702.0
15,06037101220.0,0,5,0,0,0,0,0,0,30,0,13,0,60,0,0,37,0,0,0,0,0,5,0,0,0,0,3,Los Angeles,2022,3702.0
16,06037101300.0,0,25,0,0,0,0,0,0,46,0,16,0,46,0,0,64,0,0,0,0,0,0,0,0,0,0,3,Los Angeles,2019,3884.0
17,06037101300.0,0,19,0,0,0,0,0,0,19,0,129,0,52,0,0,71,0,0,0,0,0,5,0,0,0,0,2,Los Angeles,2020,3884.0
18,06037101300.0,0,25,0,0,0,0,0,0,22,0,143,0,72,0,0,70,0,0,0,0,0,10,0,0,0,0,1,Los Angeles,2021,3884.0
19,06037101300.0,0,23,0,0,0,0,0,0,22,0,102,0,65,0,0,54,0,0,0,0,0,49,0,0,0,0,1,Los Angeles,2022,3884.0
20,06037101400.0,0,29,0,0,0,0,0,0,120,0,26,0,163,0,0,59,0,0,0,0,0,11,0,0,0,0,2,Los Angeles,2019,3458.0
21,06037101400.0,0,27,0,0,0,0,0,0,62,0,42,0,232,0,0,99,0,0,0,0,0,12,0,0,0,0,2,Los Angeles,2020,3458.0
22,06037101400.0,0,30,0,0,0,0,0,0,114,0,81,0,388,0,0,68,0,0,0,0,0,6,0,0,0,0,0,Los Angeles,2021,3458.0
23,06037101400.0,0,26,0,0,0,0,0,0,146,0,138,0,212,0,0,71,0,0,0,0,0,68,0,0,0,0,2,Los Angeles,2022,3458.0
24,06037102103.0,0,12,0,0,0,0,0,0,31,0,1,0,31,0,0,26,0,0,0,0,0,18,0,0,0,0,0,Los Angeles,2019,1763.0
25,06037102103.0,0,6,0,0,0,0,0,0,34,0,11,0,30,0,0,27,0,0,0,0,0,3,0,0,0,0,0,Los Angeles,2020,1763.0
26,06037102103.0,0,9,0,0,0,0,0,0,33,0,7,0,16,0,0,24,0,0,0,0,0,2,0,0,0,0,0,Los Angeles,2021,1763.0
27,06037102103.0,0,6,0,0,0,0,0,0,8,0,23,0,20,0,0,24,0,0,0,0,0,4,0,0,0,0,0,Los Angeles,2022,1763.0
28,06037102104.0,0,7,0,0,0,0,0,0,20,0,22,0,31,0,0,68,0,0,0,0,0,23,0,0,0,0,0,Los Angeles,2019,3721.0
29,06037102104.0,0,18,0,0,0,0,0,0,14,0,4,0,29,0,0,86,0,0,0,0,0,4,0,0,0,0,0,Los Angeles,2020,3721.0
30,06037102104.0,0,14,0,0,0,0,0,0,6,0,4,0,31,0,0,83,0,0,0,0,0,6,0,0,0,0,1,Los Angeles,2021,3721.0
31,06037102104.0,0,15,0,0,0,0,0,0,17,0,7,0,60,0,0,71,0,0,0,0,0,5,0,0,0,0,2,Los Angeles,2022,3721.0
32,06037102105.0,0,6,0,0,0,0,0,0,17,0,4,0,37,0,0,31,0,0,0,0,0,0,0,0,0,0,0,Los Angeles,2019,1905.0
33,06037102105.0,0,13,0,0,0,0,0,0,15,0,5,0,35,0,0,49,0,0,0,0,0,0,0,0,0,0,0,Los Angeles,2020,1905.0
34,06037102105.0,0,9,0,0,0,0,0,0,13,0,14,0,33,0,0,40,0,0,0,0,0,0,0,0,0,0,0,Los Angeles,2021,1905.0
35,06037102105.0,0,18,0,0,0,0,0,0,20,0,10,0,27,0,0,27,0,0,0,0,0,2,0,0,0,0,1,Los Angeles,2022,1905.0
