TractFIPS,y_variable,y_true,y_pred,City
17031010300.0,ARTHRITIS,19.8,14.845712653127421,Chicago
17031010300.0,BPHIGH,29.7,23.54253062359889,Chicago
17031010300.0,CANCER,5.9,4.196489647991431,Chicago
17031010300.0,CASTHMA,9.4,9.952350194791332,Chicago
17031010300.0,CHD,5.3,4.31847407619143,Chicago
17031010300.0,COPD,5.8,5.1357813490672966,Chicago
17031010300.0,DIABETES,10.4,9.75890158262452,Chicago
17031010300.0,HIGHCHOL,29.7,27.86035171213317,Chicago
17031010300.0,KIDNEY,3.0,2.48521985395769,Chicago
17031010300.0,OBESITY,32.2,32.25151832689782,Chicago
17031010300.0,STROKE,3.1,2.349240954600175,Chicago
17031010300.0,BINGE,17.4,17.858810245367486,Chicago
17031010300.0,CSMOKING,14.3,13.395235413871616,Chicago
17031010300.0,LPA,26.5,28.12929884944696,Chicago
17031010300.0,SLEEP,34.1,34.2976667620724,Chicago
17031010300.0,MHLTH,13.8,14.494116844548499,Chicago
17031010300.0,PHLTH,10.6,10.030546161925333,Chicago
17031010300.0,ACCESS2,10.1,9.518437687668397,Chicago
17031010300.0,CHECKUP,76.1,73.51337729513075,Chicago
17031010300.0,CHOLSCREEN,82.3,78.51220626970981,Chicago
17031010300.0,DENTAL,61.6,60.53549169869512,Chicago
36005023900.0,ARTHRITIS,15.9,18.68484105493692,New York
36005023900.0,BPHIGH,28.8,31.673467924157762,New York
36005023900.0,CANCER,3.2,3.9403313910736517,New York
36005023900.0,CASTHMA,13.0,13.09755500430228,New York
36005023900.0,CHD,5.0,5.550852307693547,New York
36005023900.0,COPD,6.5,6.914454535632561,New York
36005023900.0,DIABETES,14.7,15.159575416488435,New York
36005023900.0,HIGHCHOL,28.4,31.485909813678038,New York
36005023900.0,KIDNEY,3.2,3.63157840596555,New York
36005023900.0,OBESITY,37.9,39.39024967144106,New York
36005023900.0,STROKE,3.1,4.062812790667469,New York
36005023900.0,BINGE,14.2,14.090053308419119,New York
36005023900.0,CSMOKING,20.3,20.447542492613476,New York
36005023900.0,LPA,41.2,36.912292806181384,New York
36005023900.0,SLEEP,38.1,39.54988564489057,New York
36005023900.0,MHLTH,20.0,18.774803144761265,New York
36005023900.0,PHLTH,15.5,14.604634137724757,New York
36005023900.0,ACCESS2,24.0,20.252057491363253,New York
36005023900.0,CHECKUP,73.8,75.53710149179113,New York
36005023900.0,CHOLSCREEN,78.8,82.011510625916,New York
36005023900.0,DENTAL,46.9,49.4263635034044,New York
36061007700.0,ARTHRITIS,16.2,14.289078831661893,New York
36061007700.0,BPHIGH,19.4,16.75594339801036,New York
36061007700.0,CANCER,5.8,4.514052394120634,New York
36061007700.0,CASTHMA,9.6,9.629510513105982,New York
36061007700.0,CHD,3.3,2.535156743061245,New York
36061007700.0,COPD,3.1,2.690777651391127,New York
36061007700.0,DIABETES,5.0,3.8393227702989434,New York
36061007700.0,HIGHCHOL,30.8,28.666096042388013,New York
36061007700.0,KIDNEY,2.0,1.696782740997138,New York
36061007700.0,OBESITY,17.1,16.931601299449454,New York
36061007700.0,STROKE,1.6,1.2992847584047245,New York
36061007700.0,BINGE,24.3,24.54807309149268,New York
36061007700.0,CSMOKING,7.6,8.041799652128265,New York
36061007700.0,LPA,12.2,11.799985144231165,New York
36061007700.0,SLEEP,28.2,30.410285043231546,New York
36061007700.0,MHLTH,12.7,13.61730637981994,New York
36061007700.0,PHLTH,6.1,4.603495964228268,New York
36061007700.0,ACCESS2,3.1,3.355995916655817,New York
36061007700.0,CHECKUP,72.4,71.91376576151511,New York
36061007700.0,CHOLSCREEN,89.7,88.55002083407744,New York
36061007700.0,DENTAL,78.2,75.14173561007155,New York
25025110301.0,ARTHRITIS,21.0,17.335273864424302,Boston
25025110301.0,BPHIGH,27.1,21.068851414660717,Boston
25025110301.0,CANCER,5.8,4.791096376887324,Boston
25025110301.0,CASTHMA,11.3,11.060660184102854,Boston
25025110301.0,CHD,4.4,3.5731599909615106,Boston
25025110301.0,COPD,5.2,4.157400207901779,Boston
25025110301.0,DIABETES,8.9,6.604565100868152,Boston
25025110301.0,HIGHCHOL,30.5,28.544812044558018,Boston
25025110301.0,KIDNEY,2.7,2.453582567170472,Boston
25025110301.0,OBESITY,26.5,20.96263581636198,Boston
25025110301.0,STROKE,2.6,2.0282579040490214,Boston
25025110301.0,BINGE,18.5,20.023210082413048,Boston
25025110301.0,CSMOKING,12.5,11.821661550113207,Boston
25025110301.0,LPA,22.9,20.93383604186944,Boston
25025110301.0,SLEEP,33.4,30.11214683046966,Boston
25025110301.0,MHLTH,15.1,15.014114973793317,Boston
25025110301.0,PHLTH,9.5,7.7070601696391785,Boston
25025110301.0,ACCESS2,6.1,4.851895898291551,Boston
25025110301.0,CHECKUP,73.2,69.52438681722117,Boston
25025110301.0,CHOLSCREEN,87.7,82.9260208403122,Boston
25025110301.0,DENTAL,68.7,71.16403492273932,Boston
36047007600.0,ARTHRITIS,16.0,17.436606148595803,New York
36047007600.0,BPHIGH,25.1,26.86184886525473,New York
36047007600.0,CANCER,3.6,4.150658584966716,New York
36047007600.0,CASTHMA,10.2,9.583605627841022,New York
36047007600.0,CHD,5.2,4.811994487389926,New York
36047007600.0,COPD,5.7,5.439609100791033,New York
36047007600.0,DIABETES,13.7,12.508543590393836,New York
36047007600.0,HIGHCHOL,34.5,33.442835235287,New York
36047007600.0,KIDNEY,3.1,2.8436050603740983,New York
36047007600.0,OBESITY,28.4,25.73479173064021,New York
36047007600.0,STROKE,2.9,2.7329520702171997,New York
36047007600.0,BINGE,16.0,15.401203308950707,New York
36047007600.0,CSMOKING,17.1,15.483320129931517,New York
36047007600.0,LPA,38.4,33.77988879382622,New York
36047007600.0,SLEEP,36.4,37.22499181949124,New York
36047007600.0,MHLTH,18.1,16.770644762969038,New York
36047007600.0,PHLTH,13.3,11.001483819687232,New York
36047007600.0,ACCESS2,23.4,17.96154942461481,New York
36047007600.0,CHECKUP,71.0,73.25004153076128,New York
36047007600.0,CHOLSCREEN,80.6,83.20626965866202,New York
36047007600.0,DENTAL,45.0,50.01006014980214,New York
06037102105.0,ARTHRITIS,18.0,18.086433946515662,Los Angeles
06037102105.0,BPHIGH,27.0,25.026295115456044,Los Angeles
06037102105.0,CANCER,4.6,5.802033671119785,Los Angeles
06037102105.0,CASTHMA,9.8,8.902640211274662,Los Angeles
06037102105.0,CHD,4.7,4.178015601230852,Los Angeles
06037102105.0,COPD,5.4,4.4235970630074295,Los Angeles
06037102105.0,DIABETES,12.6,10.179193138455334,Los Angeles
06037102105.0,HIGHCHOL,35.4,35.87706984867577,Los Angeles
06037102105.0,KIDNEY,3.1,2.7633524687557713,Los Angeles
06037102105.0,OBESITY,31.5,25.14327148609924,Los Angeles
06037102105.0,STROKE,2.8,2.4422994691091366,Los Angeles
06037102105.0,BINGE,15.0,15.646525090062033,Los Angeles
06037102105.0,CSMOKING,12.5,9.01305699026036,Los Angeles
06037102105.0,LPA,24.6,17.51908180965635,Los Angeles
06037102105.0,SLEEP,33.3,30.577040246342982,Los Angeles
06037102105.0,MHLTH,16.8,14.120636212307327,Los Angeles
06037102105.0,PHLTH,13.0,9.741478870623812,Los Angeles
06037102105.0,ACCESS2,16.2,8.353681536589344,Los Angeles
06037102105.0,CHECKUP,61.8,64.41104359994759,Los Angeles
06037102105.0,CHOLSCREEN,83.8,88.07711115123462,Los Angeles
06037102105.0,DENTAL,55.6,68.65787986302664,Los Angeles
06037121802.0,ARTHRITIS,17.6,17.767839523499898,Los Angeles
06037121802.0,BPHIGH,27.9,27.965209314290615,Los Angeles
06037121802.0,CANCER,4.3,5.204893260468446,Los Angeles
06037121802.0,CASTHMA,10.0,10.054941780637412,Los Angeles
06037121802.0,CHD,4.9,4.470784637210473,Los Angeles
06037121802.0,COPD,5.6,5.152801586700355,Los Angeles
06037121802.0,DIABETES,13.3,11.095978960336103,Los Angeles
06037121802.0,HIGHCHOL,35.1,34.48611997395246,Los Angeles
06037121802.0,KIDNEY,3.1,3.0159533374268075,Los Angeles
06037121802.0,OBESITY,32.9,30.439810095317902,Los Angeles
06037121802.0,STROKE,3.0,2.975810137328125,Los Angeles
06037121802.0,BINGE,15.1,15.62552483493631,Los Angeles
06037121802.0,CSMOKING,14.0,11.769823223051107,Los Angeles
06037121802.0,LPA,26.7,21.52669138783386,Los Angeles
06037121802.0,SLEEP,35.0,33.86785624368762,Los Angeles
06037121802.0,MHLTH,17.6,15.844410419484317,Los Angeles
06037121802.0,PHLTH,13.8,11.270496546232305,Los Angeles
06037121802.0,ACCESS2,18.9,13.247174178131432,Los Angeles
06037121802.0,CHECKUP,61.0,62.043885509366724,Los Angeles
06037121802.0,CHOLSCREEN,82.6,86.09128205801889,Los Angeles
06037121802.0,DENTAL,51.7,60.723904691046556,Los Angeles
06037104401.0,ARTHRITIS,15.8,17.61591529522076,Los Angeles
06037104401.0,BPHIGH,25.9,26.414493532381385,Los Angeles
06037104401.0,CANCER,3.7,4.76267042759822,Los Angeles
06037104401.0,CASTHMA,10.0,9.307144068963822,Los Angeles
06037104401.0,CHD,4.8,4.4109357745303495,Los Angeles
06037104401.0,COPD,5.0,4.7059079829463695,Los Angeles
06037104401.0,DIABETES,13.8,11.202278548598292,Los Angeles
06037104401.0,HIGHCHOL,34.3,34.75783956557338,Los Angeles
06037104401.0,KIDNEY,3.3,2.8918536972301734,Los Angeles
06037104401.0,OBESITY,34.2,28.809290418236397,Los Angeles
06037104401.0,STROKE,2.9,2.6994137713111743,Los Angeles
06037104401.0,BINGE,15.4,15.543860331333105,Los Angeles
06037104401.0,CSMOKING,13.4,10.359019811746423,Los Angeles
06037104401.0,LPA,30.8,20.799088578644312,Los Angeles
06037104401.0,SLEEP,34.2,32.58531705847709,Los Angeles
06037104401.0,MHLTH,18.4,14.83305164899667,Los Angeles
06037104401.0,PHLTH,14.8,11.405478677947665,Los Angeles
06037104401.0,ACCESS2,28.0,12.526281968741285,Los Angeles
06037104401.0,CHECKUP,58.8,62.9155528880767,Los Angeles
06037104401.0,CHOLSCREEN,79.7,85.35008093359032,Los Angeles
06037104401.0,DENTAL,47.1,62.85472533461066,Los Angeles
47157001400.0,ARTHRITIS,27.6,30.332627304578047,Memphis
47157001400.0,BPHIGH,47.2,48.90231323255524,Memphis
47157001400.0,CANCER,4.8,5.459880984081253,Memphis
47157001400.0,CASTHMA,13.4,13.761383099791397,Memphis
47157001400.0,CHD,7.6,7.68401219662146,Memphis
47157001400.0,COPD,11.3,12.13784839140379,Memphis
47157001400.0,DIABETES,20.9,21.44171796134015,Memphis
47157001400.0,HIGHCHOL,33.3,34.300642083444075,Memphis
47157001400.0,KIDNEY,4.2,4.537594325977543,Memphis
47157001400.0,OBESITY,46.8,48.87400690534381,Memphis
47157001400.0,STROKE,5.5,5.529995014620694,Memphis
47157001400.0,BINGE,12.3,11.089501861864317,Memphis
47157001400.0,CSMOKING,30.2,31.040667411093086,Memphis
47157001400.0,LPA,43.3,42.10914755037472,Memphis
47157001400.0,SLEEP,42.3,43.1214759193546,Memphis
47157001400.0,MHLTH,23.2,22.77718550223208,Memphis
47157001400.0,PHLTH,19.0,19.712957257289112,Memphis
47157001400.0,ACCESS2,24.4,20.50047331544096,Memphis
47157001400.0,CHECKUP,79.5,80.60042753108011,Memphis
47157001400.0,CHOLSCREEN,81.5,82.45304661916445,Memphis
47157001400.0,DENTAL,39.4,40.780059864927345,Memphis
17031480500.0,ARTHRITIS,25.9,21.6398497290058,Chicago
17031480500.0,BPHIGH,43.7,37.350876867717915,Chicago
17031480500.0,CANCER,5.9,5.83513508214058,Chicago
17031480500.0,CASTHMA,11.8,11.473474978659635,Chicago
17031480500.0,CHD,7.2,5.408056407858788,Chicago
17031480500.0,COPD,8.5,6.302363052364015,Chicago
17031480500.0,DIABETES,19.1,15.047349610949956,Chicago
17031480500.0,HIGHCHOL,32.4,29.387862156957993,Chicago
17031480500.0,KIDNEY,4.5,3.431919520620327,Chicago
17031480500.0,OBESITY,43.2,39.79274416503972,Chicago
17031480500.0,STROKE,5.5,3.837128786119335,Chicago
17031480500.0,BINGE,12.4,14.011415462088578,Chicago
17031480500.0,CSMOKING,20.2,17.132742047567326,Chicago
17031480500.0,LPA,39.0,31.150471867130452,Chicago
17031480500.0,SLEEP,42.5,40.02209448301433,Chicago
17031480500.0,MHLTH,16.1,14.117473207899819,Chicago
17031480500.0,PHLTH,15.2,11.87857496614476,Chicago
17031480500.0,ACCESS2,13.6,10.323127908292133,Chicago
17031480500.0,CHECKUP,82.0,80.87376439648787,Chicago
17031480500.0,CHOLSCREEN,83.0,83.91055020246925,Chicago
17031480500.0,DENTAL,48.9,55.37423972180587,Chicago
06037127805.0,ARTHRITIS,20.3,16.1099722447854,Los Angeles
06037127805.0,BPHIGH,29.2,25.20130748198722,Los Angeles
06037127805.0,CANCER,5.9,4.143585625621075,Los Angeles
06037127805.0,CASTHMA,9.9,9.75036877517257,Los Angeles
06037127805.0,CHD,6.0,4.297701876136441,Los Angeles
06037127805.0,COPD,6.5,4.799161498595321,Los Angeles
06037127805.0,DIABETES,12.5,11.404571396132985,Los Angeles
06037127805.0,HIGHCHOL,36.4,32.90085267328915,Los Angeles
06037127805.0,KIDNEY,3.5,2.785542634700286,Los Angeles
06037127805.0,OBESITY,29.9,29.485668786397344,Los Angeles
06037127805.0,STROKE,3.6,2.5096860857561727,Los Angeles
06037127805.0,BINGE,14.6,16.02455125883196,Los Angeles
06037127805.0,CSMOKING,12.8,12.914011510714962,Los Angeles
06037127805.0,LPA,26.3,23.27210374882302,Los Angeles
06037127805.0,SLEEP,33.0,33.23050716708512,Los Angeles
06037127805.0,MHLTH,16.7,17.200791412289828,Los Angeles
06037127805.0,PHLTH,13.7,12.565687948861592,Los Angeles
06037127805.0,ACCESS2,18.6,17.01006713508683,Los Angeles
06037127805.0,CHECKUP,62.7,60.26928936865152,Los Angeles
06037127805.0,CHOLSCREEN,83.4,81.97443607068675,Los Angeles
06037127805.0,DENTAL,54.0,54.416201287247134,Los Angeles
36085027704.0,ARTHRITIS,22.9,21.35492534248306,New York
36085027704.0,BPHIGH,29.3,29.078984149491223,New York
36085027704.0,CANCER,6.1,6.329471527797936,New York
36085027704.0,CASTHMA,10.2,9.528205234430528,New York
36085027704.0,CHD,5.1,5.149218754083074,New York
36085027704.0,COPD,6.5,5.0711882413176035,New York
36085027704.0,DIABETES,11.4,11.005468327786717,New York
36085027704.0,HIGHCHOL,34.3,36.009954401873806,New York
36085027704.0,KIDNEY,2.6,3.050677421792568,New York
36085027704.0,OBESITY,31.1,23.978625982503026,New York
36085027704.0,STROKE,2.5,2.9897285702070358,New York
36085027704.0,BINGE,15.2,15.630228742439074,New York
36085027704.0,CSMOKING,17.3,12.44438988539975,New York
36085027704.0,LPA,25.3,25.54862804202347,New York
36085027704.0,SLEEP,37.3,34.324906457938276,New York
36085027704.0,MHLTH,14.9,13.623435208755245,New York
36085027704.0,PHLTH,10.1,9.573583729687979,New York
36085027704.0,ACCESS2,6.4,8.02485075647617,New York
36085027704.0,CHECKUP,76.1,78.02529845163738,New York
36085027704.0,CHOLSCREEN,86.1,89.04546743291155,New York
36085027704.0,DENTAL,63.4,64.90956979749414,New York
06037111206.0,ARTHRITIS,20.9,20.284012073695948,Los Angeles
06037111206.0,BPHIGH,28.6,28.438890020897755,Los Angeles
06037111206.0,CANCER,7.2,6.556002091164931,Los Angeles
06037111206.0,CASTHMA,8.5,9.277216883877227,Los Angeles
06037111206.0,CHD,5.1,4.499376433728838,Los Angeles
06037111206.0,COPD,4.8,4.635217422409256,Los Angeles
06037111206.0,DIABETES,9.9,10.4797313895782,Los Angeles
06037111206.0,HIGHCHOL,38.3,35.99731708960537,Los Angeles
06037111206.0,KIDNEY,3.0,2.784802709242155,Los Angeles
06037111206.0,OBESITY,23.7,26.923866787656923,Los Angeles
06037111206.0,STROKE,2.8,2.644084741329973,Los Angeles
06037111206.0,BINGE,14.8,15.384556996075311,Los Angeles
06037111206.0,CSMOKING,8.3,9.335705728217224,Los Angeles
