y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.20707992902023542,4.386807401555842,3.291304695330574
BPHIGH,0.1289891939305139,7.113742190236669,5.016166961892648
CANCER,0.04124139083655265,1.493168633828708,1.0553334779653063
CASTHMA,0.18668873232990946,1.6566719329970425,1.2602777613817298
CHD,0.014750557278370113,1.5483595250089217,1.0850908177567309
COPD,-0.003621739058251827,2.120855568077196,1.4732128491546288
DIABETES,-0.07524904842097975,4.394142972991206,3.0149303356357886
HIGHCHOL,0.11510108697685817,4.072100768758152,2.9369483911000867
KIDNEY,0.045162092624735674,0.8187962744681059,0.5719457257361926
OBESITY,-0.07610443768640959,7.627508933240728,5.247949733811369
STROKE,0.06612222045386482,1.1824317231078947,0.8130382894465853
BINGE,-0.1233857655956447,3.575387696554047,2.3875519812100228
CSMOKING,-0.0791066622817781,5.797123540571442,3.9756407884531626
LPA,-0.10134063681076902,9.741250100332566,6.989352546557191
SLEEP,0.06187456433032044,5.015740887812202,3.6921783999844577
MHLTH,-0.022771687475028578,3.4089303419697927,2.397345347956289
PHLTH,-0.20092831626694196,3.706016079902342,2.4965389734335686
ACCESS2,-0.13298891262713408,7.585625680377691,5.170542798680075
CHECKUP,0.4633690820833265,5.328261267115964,4.022163080944637
CHOLSCREEN,-0.2237886582248,5.366735531057652,3.5380106472696773
DENTAL,-0.17055499482410413,11.893386169843241,8.431683484658063
