y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.45383182744264694,3.683531764574763,2.899240471331077
BPHIGH,0.6031102310672768,4.8901606471038725,3.8443774883142843
CANCER,0.7087848899963104,0.8314525224655622,0.6577741571756285
CASTHMA,0.4557206404556414,1.3715203531899944,1.0715516830934875
CHD,0.41952047085214766,1.2068265165743937,0.9280389725951643
COPD,0.27675554775259903,1.8443432297377123,1.4002018915660428
DIABETES,0.572479643238046,2.8523032820472105,2.2277751700312853
HIGHCHOL,0.4152756948122522,3.3460248936760295,2.631152272547728
KIDNEY,0.5500679860738009,0.5712870889889113,0.4496903319765225
OBESITY,0.3976186496709355,6.008462465588783,4.79863917011621
STROKE,0.5460352768797903,0.8394820663422337,0.6413264081616583
BINGE,0.6166373798717423,2.170519714716245,1.7394794311833093
CSMOKING,0.36700928416268186,4.595645837146166,3.540318011372188
LPA,0.4669992686434129,7.007337765684248,5.731420908913105
SLEEP,0.6890014429193131,2.9432924048678144,2.316542321556038
MHLTH,0.3569355403738422,2.7625539824239707,2.136562095229074
PHLTH,0.3170625936720963,2.9223799538927717,2.3207610808386905
ACCESS2,0.2175535512264048,6.584763502726321,5.02351047205506
CHECKUP,0.33402388417183904,6.0034678560783945,4.931649095908588
CHOLSCREEN,0.334383624826341,4.148479528211409,3.1659996018416785
DENTAL,0.44763590312715174,8.483477266787641,6.809877970549207
