,Health Measure,City,DF Model,CC Model,Hybrid Model
0,ACCESS2,Austin,11.04293219987651,6.7392014560689875,6.421032399727775
1,ACCESS2,Baltimore,5.841738393520085,3.4557914024271557,3.1896274354094003
2,ACCESS2,Boston,7.480494304987481,4.009406495471614,3.3246078459310224
3,ACCESS2,Chicago,7.926979978968507,5.3980309554316905,4.923616843735884
4,ACCESS2,Los Angeles,7.324156583360281,6.220488331488841,5.52506839340274
5,ACCESS2,Memphis,6.730439040440762,4.9393914798192835,4.19430423812174
6,ACCESS2,New York,5.355447961676257,4.541188565260981,3.8805372613118903
7,ACCESS2,Philadelphia,5.778948184975455,4.580353366137415,3.994506539265458
8,ACCESS2,San Diego,7.993923576177926,4.761346179854126,4.959904556012542
9,ACCESS2,San Francisco,7.407836082700913,3.482690744051422,2.5323597658293435
10,ARTHRITIS,Austin,2.50778833977777,3.5191774435020173,2.1234935175189222
11,ARTHRITIS,Baltimore,5.9689988201011035,4.54861776025351,3.2167712758537363
12,ARTHRITIS,Boston,3.3791857262509253,4.480850301277279,2.7523088733278156
13,ARTHRITIS,Chicago,3.2221187877821276,3.522382040381287,2.439070523099917
14,ARTHRITIS,Los Angeles,2.4845051370381395,2.7616705715498733,2.0607145521269863
15,ARTHRITIS,Memphis,7.465403215466113,4.046060182549107,3.1823620390641643
16,ARTHRITIS,New York,3.562958580767208,3.1299172966149063,2.2142176698939395
17,ARTHRITIS,Philadelphia,5.5999291443619095,4.772312726188616,3.3183126800694827
18,ARTHRITIS,San Diego,2.825871038726816,4.1156697937798015,2.4007408292930266
19,ARTHRITIS,San Francisco,3.351052958048292,3.1978566003440325,2.088002138418041
20,BINGE,Austin,2.3327774719689836,2.219949103615091,1.6908094324986305
21,BINGE,Baltimore,2.0191604526910854,2.7952436810820736,1.6260173747789157
22,BINGE,Boston,2.9560025893451094,3.1682447074248747,1.8015426147781557
23,BINGE,Chicago,2.847480624780493,2.584624569752352,1.5657943970764265
