y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.46354570007357293,4.073675661490645,3.1365269501677475
BPHIGH,0.6700729620728473,4.651466626929266,3.6197339897249776
CANCER,0.738002779386712,0.7736635171556199,0.5926490233241921
CASTHMA,0.5581850168310613,1.3692432319934542,1.04211761792189
CHD,0.4117496226803857,1.3747601508143426,1.0407308434189946
COPD,0.34354507560243663,1.8221833431252477,1.3867418201154111
DIABETES,0.6183376031414631,2.7066129927202764,2.0756613633317693
HIGHCHOL,0.5378273506052592,2.8940990429796307,2.2032929340128273
KIDNEY,0.5304972209376942,0.6546727641407858,0.4992643787725949
OBESITY,0.47337227728726095,5.490995615970368,4.310755494953365
STROKE,0.5777503889128693,0.945381084418543,0.6985411385594167
BINGE,0.609665262498063,2.705885958731751,2.0775544798559418
CSMOKING,0.38204973378023394,4.414948729580578,3.405351426625073
LPA,0.479582268770958,6.291203797784798,5.046102161083985
SLEEP,0.6861317734314673,3.3930086391075625,2.6520860822355616
MHLTH,0.3874941746692784,2.84569275163044,2.193281980799145
PHLTH,0.3752849339301436,3.265469002035249,2.5256731485158905
ACCESS2,0.2888093160583237,7.034934314586519,5.3422371425005535
CHECKUP,0.5724653023282966,3.8489083409101026,3.1024269677622134
CHOLSCREEN,0.5089182493215849,2.7933103327735957,2.1430214398068372
DENTAL,0.4873008519706155,8.480372926488826,6.699271124269403
