y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.7838712944842956,2.414814452238161,1.8170487783577525
BPHIGH,0.8374786820050499,3.2686330864605013,2.4623804583952587
CANCER,0.7969244908821151,0.6711125695409835,0.5033050200759945
CASTHMA,0.7865185802775508,0.8877682081756115,0.6456663282545778
CHD,0.6370740277244547,0.9552917894809652,0.6989360902111669
COPD,0.6196326270027743,1.3015090889327152,0.9362703662626645
DIABETES,0.7840419185739875,1.9255786264900103,1.4152483682198398
HIGHCHOL,0.7177484559765497,2.1668182799621736,1.6242336473249797
KIDNEY,0.6923130339973558,0.5156391727487272,0.37505705548581936
OBESITY,0.8045664939657783,3.378885248824475,2.5297568581510985
STROKE,0.7440194109311378,0.6858101380505486,0.48507542387786096
BINGE,0.8474947533875332,1.3781153787753848,1.0328699634297913
CSMOKING,0.7453732112732571,2.797693557730356,2.074613729817792
LPA,0.7499488216591121,4.613288604258123,3.501604635828676
SLEEP,0.8737382413632282,1.8513294022794362,1.4156583949024828
MHLTH,0.718454170432862,1.4520752299487918,1.0890104221559418
PHLTH,0.6503274312294751,1.9194709784094077,1.417762270902103
ACCESS2,0.6855406228931622,4.39084203710272,3.2020824267598647
CHECKUP,0.9434563729718007,1.6910145506804224,1.2666769176329162
CHOLSCREEN,0.6770685011426647,2.2096052259785877,1.6562516097392297
DENTAL,0.7175690946171607,5.988788412473744,4.567638012823567
