y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.5192884943950021,3.416567360160731,2.459411339948349
BPHIGH,0.6190885796867572,4.733817188272383,3.4869509423225047
CANCER,0.3454385219901274,1.2344360936011693,0.8706679313125821
CASTHMA,0.6521593448678116,1.0839033225871604,0.8033338467672511
CHD,0.37357312401799714,1.2399012699735703,0.8756424413936841
COPD,0.5328779723494574,1.464441671650344,1.0548711172126322
DIABETES,0.572075181987427,2.820578649406997,2.089593929590866
HIGHCHOL,0.4141390078408194,3.3126600088781935,2.371361058221195
KIDNEY,0.4998461948497878,0.5956077551783138,0.4330605801277695
OBESITY,0.6948744491054989,4.227266277980417,3.2845896903629197
STROKE,0.5607948770232088,0.8160740501774886,0.5809578634407141
BINGE,0.5520706299635556,2.31961843640969,1.7191523660912509
CSMOKING,0.6244714870135836,3.498067646377879,2.582783052874813
LPA,0.6208305939999541,5.845809977359087,4.509343314575688
SLEEP,0.6516478866199423,3.0819621896573084,2.3651031246431975
MHLTH,0.5266638905689621,2.3440204447360258,1.6971977257034117
PHLTH,0.5807936463917468,2.26418272721966,1.6888487787594582
ACCESS2,0.5704727042528348,4.824206623764239,3.559006859680123
CHECKUP,0.8574294682105723,2.7466214428505795,2.0627372597526152
CHOLSCREEN,0.5188830169227963,3.4855242257942636,2.479362128585021
DENTAL,0.5725313657945212,7.3863462084992095,5.7902288889493
