y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.4647640073487126,3.605127482982431,2.6338645031312375
BPHIGH,0.5807012885875091,4.967549045861619,3.698494827896318
CANCER,0.2817887253038604,1.2927150582308902,0.9117062966400061
CASTHMA,0.6381548540315121,1.1054849812903964,0.8211518946622712
CHD,0.31466954999039276,1.2969266392719843,0.9257942424269701
COPD,0.49992948421658506,1.5147621443340662,1.1070854156416712
DIABETES,0.528390968345978,2.9609500484509326,2.192625248647731
HIGHCHOL,0.3664362978173835,3.4455160245754586,2.4769537554500785
KIDNEY,0.4379391222811727,0.6314322129882721,0.4621099388911129
OBESITY,0.6785417157495413,4.338277234102189,3.3497726488020847
STROKE,0.5441453267187463,0.8311417876664324,0.599787808001245
BINGE,0.5111454732990433,2.4234085983486744,1.8035531847804596
CSMOKING,0.6083230078886871,3.573654593543553,2.625929161994306
LPA,0.6090177379395908,5.934936156338682,4.533528407905233
SLEEP,0.6307415295594161,3.1719426347399606,2.412012289116981
MHLTH,0.4884543425953337,2.4368798324306464,1.780313407439826
PHLTH,0.5497725361258003,2.346129097428304,1.7602568025384566
ACCESS2,0.5342466738029764,5.022881731181918,3.670779149344932
CHECKUP,0.8549537922821994,2.7708361046277004,2.1099377847824727
CHOLSCREEN,0.4716269618040571,3.6542935398222802,2.6086597922075514
DENTAL,0.5550479653022273,7.534967367482755,5.830077954668331
