y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.47258663463149286,3.6186230335268066,2.8023214488978314
BPHIGH,0.6196201726052151,4.785751396401205,3.6640732522616117
CANCER,0.7113889996484348,0.8281949917155458,0.6371780410538607
CASTHMA,0.474156783145235,1.3480181553948374,1.0355631682402113
CHD,0.3656276676729531,1.2604357494558618,0.9538694394868792
COPD,0.23351169012534304,1.8975560198225974,1.407499916586276
DIABETES,0.5335331156742752,2.9793630377840903,2.2712423723927726
HIGHCHOL,0.4497214501377272,3.2469233548028873,2.511652438730794
KIDNEY,0.5288201887380578,0.5845771670451624,0.44875533216520597
OBESITY,0.41118118073553916,5.940654424210277,4.664653555544733
STROKE,0.5439270468253236,0.8410025728998427,0.6257930457249469
BINGE,0.6070870904323855,2.197634426875548,1.7018271968048055
CSMOKING,0.34115611580040833,4.689346372944887,3.5586835939965527
LPA,0.4265169669127481,7.2702184049494845,5.773797610468327
SLEEP,0.6998188317103461,2.8925533569566393,2.2669684806792274
MHLTH,0.35363298113891534,2.770195909159925,2.125378319540521
PHLTH,0.2846510267432941,2.991260865073889,2.2988080413359047
ACCESS2,0.2083269072831586,6.617881756101113,4.87578101208844
CHECKUP,0.37503491084657553,5.814240247751754,4.614908823120759
CHOLSCREEN,0.333931043707919,4.149908386942512,3.162439042406599
DENTAL,0.426691215676876,8.648214896436553,6.774629341884936
