,TractFIPS,TotalPopulation,PercentMale,PercentElderly,PercentWhite,City
0,06037101110.0,4.283,47.6,17.0,78.1,Los Angeles
1,06037101122.0,3.405,47.8,20.0,87.5,Los Angeles
2,06037101210.0,6.347,52.8,9.8,73.2,Los Angeles
3,06037101220.0,3.702,46.4,16.1,71.2,Los Angeles
4,06037101300.0,3.884,48.8,24.2,86.3,Los Angeles
5,06037101400.0,3.458,47.8,19.1,77.2,Los Angeles
6,06037102103.0,1.763,48.6,15.1,76.5,Los Angeles
7,06037102104.0,3.721,43.8,19.8,80.2,Los Angeles
8,06037102105.0,1.905,50.1,10.2,65.7,Los Angeles
9,06037102107.0,4.349,49.7,16.2,76.9,Los Angeles
10,06037103101.0,2.428,50.5,15.2,81.9,Los Angeles
11,06037103102.0,4.734,49.3,17.2,74.4,Los Angeles
12,06037103200.0,6.349,51.0,23.0,86.7,Los Angeles
13,06037103300.0,3.781,51.2,19.0,82.7,Los Angeles
14,06037103400.0,6.416,47.7,19.0,71.8,Los Angeles
15,06037104103.0,3.431,51.9,12.8,68.7,Los Angeles
16,06037104105.0,6.054,47.7,9.4,54.1,Los Angeles
17,06037104108.0,6.001,52.8,9.8,59.0,Los Angeles
18,06037104201.0,4.569,51.0,10.7,62.2,Los Angeles
19,06037104203.0,5.441,49.4,7.4,58.0,Los Angeles
20,06037104204.0,3.679,50.1,10.6,64.2,Los Angeles
21,06037104310.0,4.962,50.0,8.9,60.9,Los Angeles
22,06037104320.0,5.292,50.1,12.2,65.5,Los Angeles
23,06037104401.0,3.27,50.2,11.5,66.4,Los Angeles
24,06037104403.0,3.341,47.4,13.1,61.2,Los Angeles
25,06037104404.0,3.084,55.4,8.4,59.8,Los Angeles
26,06037104500.0,3.025,51.3,12.0,53.2,Los Angeles
27,06037104610.0,3.386,50.6,9.7,56.6,Los Angeles
28,06037104620.0,3.528,52.1,10.0,52.9,Los Angeles
29,06037104701.0,4.402,46.7,6.8,65.5,Los Angeles
30,06037104703.0,2.174,52.4,6.1,65.0,Los Angeles
31,06037104704.0,4.321,47.5,9.5,58.0,Los Angeles
32,06037104810.0,5.631,53.2,10.0,70.1,Los Angeles
33,06037104821.0,3.551,47.6,8.2,57.4,Los Angeles
34,06037104822.0,2.839,50.2,8.6,64.8,Los Angeles
35,06037106010.0,3.093,44.6,15.9,76.1,Los Angeles
36,06037106020.0,5.42,49.4,14.5,82.3,Los Angeles
37,06037106111.0,4.191,48.5,14.7,65.2,Los Angeles
38,06037106112.0,5.611,48.0,12.3,71.0,Los Angeles
39,06037106113.0,3.697,47.1,14.6,75.5,Los Angeles
40,06037106114.0,6.324,49.8,7.9,76.0,Los Angeles
41,06037106403.0,3.667,52.2,11.9,82.9,Los Angeles
42,06037106405.0,4.758,48.7,9.7,68.5,Los Angeles
43,06037106406.0,5.839,49.1,15.5,78.1,Los Angeles
44,06037106407.0,3.119,45.4,13.5,72.3,Los Angeles
45,06037106408.0,3.667,50.2,4.7,74.0,Los Angeles
46,06037106510.0,5.618,56.7,11.2,73.1,Los Angeles
47,06037106520.0,5.92,50.2,13.1,84.7,Los Angeles
48,06037106603.0,3.156,51.3,23.2,66.1,Los Angeles
49,06037106604.0,5.068,51.9,17.4,82.9,Los Angeles
50,06037106641.0,2.372,45.4,20.7,71.4,Los Angeles
51,06037106642.0,2.961,49.2,21.8,64.5,Los Angeles
52,06037106643.0,4.577,46.1,20.4,66.8,Los Angeles
53,06037106645.0,3.65,49.7,21.4,74.6,Los Angeles
54,06037106646.0,3.161,49.9,22.1,60.4,Los Angeles
55,06037106648.0,4.546,50.9,9.3,75.4,Los Angeles
56,06037106649.0,2.661,48.1,13.2,60.1,Los Angeles
57,06037107010.0,3.141,49.3,8.5,74.0,Los Angeles
58,06037107020.0,5.317,46.7,7.1,75.3,Los Angeles
59,06037108101.0,2.327,48.2,26.4,66.1,Los Angeles
60,06037108102.0,3.552,49.7,24.3,58.3,Los Angeles
61,06037108103.0,3.099,50.7,25.6,63.5,Los Angeles
62,06037108104.0,1.836,52.6,18.5,51.5,Los Angeles
63,06037108201.0,5.46,50.9,18.6,38.8,Los Angeles
64,06037108202.0,7.487,47.2,21.1,39.1,Los Angeles
65,06037109100.0,2.797,52.4,25.1,61.2,Los Angeles
66,06037109200.0,2.846,57.5,10.0,58.6,Los Angeles
67,06037109300.0,2.962,51.5,16.8,60.7,Los Angeles
68,06037109400.0,3.903,48.0,13.8,41.8,Los Angeles
69,06037109601.0,4.945,55.3,13.7,44.1,Los Angeles
70,06037109603.0,4.297,46.9,14.7,39.6,Los Angeles
71,06037109604.0,3.195,48.9,11.0,46.1,Los Angeles
72,06037109700.0,4.616,54.6,14.0,56.6,Los Angeles
73,06037109800.0,5.534,45.2,16.0,44.8,Los Angeles
74,06037111100.0,3.179,52.0,13.9,52.8,Los Angeles
75,06037111201.0,3.628,46.8,17.1,68.4,Los Angeles
76,06037111202.0,5.169,54.0,14.8,66.1,Los Angeles
77,06037111204.0,6.114,50.5,24.0,57.3,Los Angeles
78,06037111205.0,3.869,47.0,16.8,40.3,Los Angeles
79,06037111206.0,4.379,52.5,20.6,63.7,Los Angeles
80,06037111301.0,7.552,49.9,13.1,46.7,Los Angeles
81,06037111302.0,5.163,47.7,18.4,52.8,Los Angeles
82,06037111400.0,8.735,45.5,16.3,63.9,Los Angeles
83,06037113101.0,3.719,48.1,23.0,73.7,Los Angeles
84,06037113102.0,3.021,52.3,23.2,83.4,Los Angeles
85,06037113211.0,4.109,44.4,26.9,81.3,Los Angeles
86,06037113212.0,3.494,49.5,18.3,53.5,Los Angeles
87,06037113213.0,5.248,48.1,14.9,44.1,Los Angeles
88,06037113231.0,2.303,50.1,20.4,71.0,Los Angeles
89,06037113232.0,4.315,48.2,24.1,69.6,Los Angeles
90,06037113233.0,7.345,47.2,10.6,42.0,Los Angeles
91,06037113234.0,4.823,50.2,14.8,47.5,Los Angeles
92,06037113237.0,4.194,49.4,22.0,54.8,Los Angeles
93,06037113301.0,3.509,53.4,21.5,66.4,Los Angeles
94,06037113303.0,4.191,53.6,20.6,73.6,Los Angeles
95,06037113321.0,6.18,52.0,8.2,54.5,Los Angeles
96,06037113322.0,4.572,48.8,20.6,59.3,Los Angeles
97,06037113401.0,6.55,49.9,16.0,39.6,Los Angeles
98,06037113421.0,6.879,48.7,9.8,31.1,Los Angeles
99,06037113422.0,6.306,51.8,14.2,59.3,Los Angeles
100,06037115101.0,5.083,45.1,22.2,60.9,Los Angeles
101,06037115103.0,3.381,38.9,0.1,48.7,Los Angeles
102,06037115104.0,4.377,48.7,11.0,47.7,Los Angeles
103,06037115201.0,6.647,55.8,10.6,61.1,Los Angeles
104,06037115202.0,5.684,50.3,10.4,47.7,Los Angeles
105,06037115301.0,4.524,55.4,21.6,60.8,Los Angeles
106,06037115302.0,3.957,53.7,10.1,50.4,Los Angeles
107,06037115401.0,6.373,49.5,9.6,59.5,Los Angeles
108,06037115403.0,3.583,49.1,11.1,41.2,Los Angeles
109,06037115404.0,2.8,51.8,10.5,44.4,Los Angeles
110,06037117101.0,5.224,52.3,5.2,17.2,Los Angeles
111,06037117102.0,2.861,51.3,12.7,55.9,Los Angeles
112,06037117201.0,5.191,47.5,12.2,38.9,Los Angeles
113,06037117202.0,2.633,48.9,21.3,48.7,Los Angeles
114,06037117301.0,3.91,43.5,15.4,54.5,Los Angeles
115,06037117302.0,5.229,47.7,18.7,60.1,Los Angeles
116,06037117303.0,3.754,44.9,14.7,49.0,Los Angeles
117,06037117404.0,5.324,48.1,11.3,48.3,Los Angeles
118,06037117405.0,3.574,52.3,3.2,26.6,Los Angeles
119,06037117407.0,3.836,51.1,2.6,19.0,Los Angeles
120,06037117408.0,3.073,51.0,4.8,35.1,Los Angeles
121,06037117510.0,3.687,50.8,6.8,34.4,Los Angeles
122,06037117520.0,4.168,49.1,3.4,23.2,Los Angeles
123,06037117530.0,6.742,48.7,6.4,28.3,Los Angeles
124,06037119001.0,4.435,51.6,13.2,57.2,Los Angeles
125,06037119002.0,7.976,50.9,12.4,61.0,Los Angeles
126,06037119201.0,4.547,47.9,10.8,58.9,Los Angeles
127,06037119202.0,4.759,51.0,12.1,49.9,Los Angeles
128,06037119310.0,4.087,51.2,15.2,41.4,Los Angeles
129,06037119320.0,4.906,48.7,7.7,22.1,Los Angeles
130,06037119340.0,4.264,48.7,3.4,35.1,Los Angeles
131,06037119341.0,2.89,47.5,15.0,29.1,Los Angeles
132,06037119342.0,2.911,51.3,6.9,37.2,Los Angeles
133,06037119400.0,5.499,50.0,11.3,52.9,Los Angeles
134,06037119700.0,4.913,46.3,15.7,58.3,Los Angeles
135,06037119800.0,6.054,47.1,10.7,59.9,Los Angeles
136,06037119900.0,5.245,47.1,12.9,41.3,Los Angeles
137,06037120010.0,2.704,51.3,9.8,32.3,Los Angeles
138,06037120020.0,3.872,51.6,9.9,25.3,Los Angeles
139,06037120030.0,2.666,47.4,9.7,26.0,Los Angeles
140,06037120103.0,3.452,44.7,5.3,28.2,Los Angeles
141,06037120104.0,2.228,53.5,8.4,29.2,Los Angeles
142,06037120105.0,2.832,50.5,15.5,32.4,Los Angeles
143,06037120106.0,4.763,53.5,5.8,34.3,Los Angeles
144,06037120107.0,3.893,54.2,4.5,31.9,Los Angeles
145,06037120108.0,4.732,50.8,8.0,39.0,Los Angeles
146,06037120300.0,5.238,51.3,12.9,33.0,Los Angeles
147,06037120400.0,6.769,43.4,10.8,40.7,Los Angeles
148,06037121010.0,4.934,53.8,15.0,53.0,Los Angeles
149,06037121020.0,3.61,50.3,9.7,65.6,Los Angeles
150,06037121101.0,2.862,49.0,7.7,68.1,Los Angeles
151,06037121102.0,2.479,46.6,17.6,85.8,Los Angeles
152,06037121210.0,2.926,51.8,19.5,54.8,Los Angeles
153,06037121221.0,2.42,51.4,12.4,68.4,Los Angeles
154,06037121222.0,5.139,48.7,8.1,69.1,Los Angeles
155,06037121600.0,2.735,49.8,17.9,58.6,Los Angeles
156,06037121801.0,3.127,51.0,10.5,48.8,Los Angeles
157,06037121802.0,3.216,50.3,12.1,57.0,Los Angeles
158,06037121900.0,3.761,50.2,10.3,72.9,Los Angeles
159,06037122000.0,5.892,48.4,16.1,66.7,Los Angeles
160,06037122120.0,5.011,52.9,10.4,54.0,Los Angeles
161,06037122121.0,2.829,50.0,10.3,69.2,Los Angeles
162,06037122122.0,2.728,48.2,9.8,69.2,Los Angeles
163,06037122200.0,3.469,47.8,10.1,76.0,Los Angeles
164,06037122410.0,3.457,51.7,9.3,60.4,Los Angeles
165,06037122420.0,4.503,53.6,8.3,52.5,Los Angeles
166,06037123010.0,4.027,49.3,9.4,77.4,Los Angeles
167,06037123020.0,3.25,49.2,13.3,63.0,Los Angeles
168,06037123103.0,3.808,46.1,11.6,67.4,Los Angeles
169,06037123104.0,4.416,52.9,13.6,65.2,Los Angeles
170,06037123203.0,4.094,50.3,5.1,59.0,Los Angeles
171,06037123204.0,3.129,50.6,4.0,45.5,Los Angeles
172,06037123205.0,2.492,55.1,7.3,71.6,Los Angeles
173,06037123206.0,2.572,48.7,9.8,64.1,Los Angeles
174,06037123301.0,4.53,46.1,14.7,51.0,Los Angeles
175,06037123303.0,3.087,49.2,11.8,65.4,Los Angeles
176,06037123304.0,4.362,47.5,22.2,69.4,Los Angeles
177,06037123410.0,4.181,48.9,8.2,73.5,Los Angeles
178,06037123420.0,4.408,44.3,10.6,73.5,Los Angeles
179,06037123510.0,4.795,42.1,15.7,55.3,Los Angeles
180,06037123520.0,2.816,52.0,10.7,69.3,Los Angeles
181,06037123601.0,4.803,50.9,15.5,75.5,Los Angeles
182,06037123602.0,3.659,43.2,16.4,70.5,Los Angeles
183,06037123700.0,4.435,50.3,16.7,75.9,Los Angeles
184,06037123800.0,6.018,48.3,13.2,77.4,Los Angeles
185,06037123901.0,4.696,59.2,8.6,52.5,Los Angeles
186,06037123902.0,2.668,48.9,11.1,66.1,Los Angeles
187,06037124000.0,5.219,51.8,16.5,82.7,Los Angeles
188,06037124102.0,3.551,52.0,9.4,68.6,Los Angeles
189,06037124103.0,1.95,50.6,14.5,64.5,Los Angeles
190,06037124104.0,2.492,59.4,8.3,69.0,Los Angeles
191,06037124105.0,2.538,48.8,6.8,67.0,Los Angeles
192,06037124201.0,3.348,47.7,14.2,70.9,Los Angeles
193,06037124203.0,2.384,53.0,11.4,74.4,Los Angeles
194,06037124204.0,2.192,51.9,10.0,71.2,Los Angeles
