,TractFIPS,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,MHLTH,PHLTH,ACCESS2,CHECKUP,CHOLSCREEN,DENTAL,City,Year
0,06037101110.0,21.3,26.8,5.9,9.2,5.5,6.6,10.7,33.8,2.8,26.9,3.1,18.3,15.1,21.0,36.7,14.6,14.2,12.8,70.3,85.0,62.3,Los Angeles,2020
1,06037101122.0,20.5,25.8,6.7,8.2,4.7,5.2,9.1,34.1,2.4,22.7,2.5,18.8,11.1,16.1,33.9,11.3,10.9,8.2,72.5,88.6,72.7,Los Angeles,2020
2,06037101210.0,21.2,27.7,5.0,10.2,6.2,7.9,12.0,33.3,3.1,31.1,3.5,17.7,19.4,25.9,39.4,18.0,17.1,17.7,68.2,80.4,51.4,Los Angeles,2020
3,06037101220.0,22.6,28.2,6.0,9.5,6.5,7.6,12.4,34.6,3.2,29.2,3.6,17.2,16.7,24.2,37.4,15.6,16.0,16.1,70.2,84.5,56.9,Los Angeles,2020
4,06037101300.0,23.4,28.2,7.7,8.8,5.9,6.3,9.8,35.5,2.8,23.9,3.2,17.9,12.3,17.7,33.6,12.3,12.3,8.7,73.2,88.3,70.0,Los Angeles,2020
5,06037101400.0,22.4,28.0,6.9,8.8,5.8,6.3,10.2,35.1,2.8,25.3,3.1,18.3,12.8,18.3,34.7,13.0,12.9,9.6,72.2,86.8,67.8,Los Angeles,2020
6,06037102103.0,20.3,25.5,6.8,8.1,4.9,5.1,9.1,33.2,2.5,23.2,2.7,19.1,10.8,16.6,33.1,11.3,10.8,9.3,72.1,88.2,71.7,Los Angeles,2020
7,06037102104.0,19.8,24.5,6.3,8.5,4.8,5.2,9.0,32.2,2.5,23.0,2.6,18.8,11.7,16.8,34.1,12.3,11.2,9.0,71.7,86.9,70.0,Los Angeles,2020
8,06037102105.0,19.4,26.4,5.0,8.9,5.5,6.0,12.5,32.9,3.1,29.8,3.1,17.0,14.6,25.6,37.4,15.0,15.2,20.5,69.3,84.1,56.1,Los Angeles,2020
9,06037102107.0,23.7,30.5,7.8,8.5,6.4,6.3,10.8,36.3,3.1,24.5,3.4,16.8,11.4,19.2,33.3,12.1,12.7,10.7,73.8,87.7,68.4,Los Angeles,2020
10,06037103101.0,21.0,26.2,6.5,8.7,5.2,5.9,9.7,34.0,2.6,24.7,2.8,18.8,13.0,18.0,34.6,12.8,12.4,10.2,71.3,87.3,68.2,Los Angeles,2020
11,06037103102.0,20.2,26.5,6.1,8.6,5.2,5.8,10.0,33.8,2.6,24.7,2.8,18.3,13.1,19.7,35.1,13.0,12.6,12.1,70.9,86.0,66.0,Los Angeles,2020
12,06037103200.0,23.4,29.2,6.7,9.1,6.4,7.1,11.8,35.4,3.1,27.5,3.6,17.3,14.4,21.7,36.0,14.1,14.8,12.8,72.1,86.8,62.7,Los Angeles,2020
13,06037103300.0,20.8,25.7,7.2,8.0,5.0,4.9,8.7,34.0,2.5,23.0,2.5,19.0,9.6,14.6,32.0,10.5,10.3,7.5,73.4,89.9,75.5,Los Angeles,2020
14,06037103400.0,22.1,27.2,6.6,8.9,5.6,6.3,10.4,34.3,2.8,26.0,3.1,18.2,13.4,19.5,35.4,13.5,13.4,11.1,71.7,86.9,66.2,Los Angeles,2020
15,06037104103.0,16.4,25.8,4.4,8.4,4.3,4.6,11.2,30.9,2.6,28.2,2.7,18.2,12.3,23.0,37.5,13.3,12.5,20.7,69.5,84.6,60.2,Los Angeles,2020
16,06037104105.0,16.3,24.8,3.9,9.3,4.4,5.1,12.0,30.4,2.9,31.0,2.8,17.2,14.5,27.5,38.6,16.1,15.3,25.6,67.8,81.6,52.8,Los Angeles,2020
17,06037104108.0,16.3,25.7,4.3,8.9,4.6,4.8,11.5,30.3,2.8,29.6,2.9,18.2,13.2,25.5,37.7,14.6,13.6,24.6,68.4,82.5,56.0,Los Angeles,2020
18,06037104201.0,16.4,25.1,3.7,9.6,4.9,5.6,12.9,29.9,3.1,33.2,3.2,17.7,16.2,30.6,39.4,17.4,16.4,31.1,66.2,80.4,46.9,Los Angeles,2020
19,06037104203.0,17.3,26.6,3.9,9.5,5.5,5.9,13.7,31.2,3.4,33.6,3.4,17.2,16.8,31.3,39.6,17.4,17.3,31.6,66.4,79.7,45.7,Los Angeles,2020
20,06037104204.0,19.1,28.3,4.5,9.4,5.9,6.6,14.0,33.2,3.3,32.1,3.6,16.6,17.3,30.1,39.8,16.4,17.2,26.7,68.0,82.2,48.5,Los Angeles,2020
