y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.5366703079020286,3.3921571039616287,2.619427575184674
BPHIGH,0.6650362651323002,4.4906375610064,3.431871066210566
CANCER,0.7390051586670593,0.7878427216230566,0.6034987417260395
CASTHMA,0.5281810714165488,1.2766916253691487,0.9756444366327282
CHD,0.43655951271204946,1.1883083427254946,0.894404830389367
COPD,0.31879969602665664,1.7895726556967422,1.3421094173334922
DIABETES,0.5863079688714494,2.8062246043681105,2.139076711866836
HIGHCHOL,0.5131609461226532,3.0540094977102354,2.366320118803983
KIDNEY,0.5751877130648071,0.5550982033365959,0.42604388451430414
OBESITY,0.4651609856453461,5.661805292245024,4.4591278075978975
STROKE,0.5904681730433975,0.7971851967182598,0.5939574293940243
BINGE,0.6541862944988541,2.0617231256549857,1.600248258282938
CSMOKING,0.4089988671361052,4.440733983505218,3.387999668310303
LPA,0.4826298757658439,6.906005705922683,5.560662089148807
SLEEP,0.7297116275735946,2.744166026253998,2.1548309826079546
MHLTH,0.41450608153885576,2.6366285985272326,2.0331569857711305
PHLTH,0.3588987970486574,2.831967477535234,2.1930861674706867
ACCESS2,0.29004673448710394,6.269130546179723,4.610901527846756
CHECKUP,0.4418671210982037,5.494744929790066,4.421509828095566
CHOLSCREEN,0.4128879741938863,3.8956199493582915,2.9774466593420703
DENTAL,0.47805614679515085,8.249498663402266,6.5229474579850955
