y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.80010187095614,2.3662781938652895,1.7848629725069791
BPHIGH,0.8428465009772644,3.2150499773986985,2.4249605975205406
CANCER,0.8049743820620676,0.681874166217021,0.5114442045355257
CASTHMA,0.8248356037374378,0.8546118852322546,0.6281127781861955
CHD,0.6371330776340495,1.0206004561555901,0.7458750068846507
COPD,0.6640973529287553,1.2869965524086813,0.9310170126242282
DIABETES,0.7855436876818781,1.9769764075533227,1.4562717473843374
HIGHCHOL,0.7192917735274367,2.160708190782609,1.6159293225303617
KIDNEY,0.7274189106288613,0.5178097764078463,0.3773960725184937
OBESITY,0.8233308802208599,3.234061693642121,2.422072933231177
STROKE,0.7806654412712616,0.6828456061449992,0.4898175587575236
BINGE,0.8196190606599831,1.7662977502963053,1.334038858745744
CSMOKING,0.7580365142563767,2.656603349443426,1.9712067541687355
LPA,0.7387216445522118,4.636430972398935,3.5117753962565117
SLEEP,0.8957634585096281,1.9297280471959706,1.4803221732127398
MHLTH,0.7047594080384789,1.8756780890874114,1.399712655695498
PHLTH,0.6709439542277433,2.3259506038504307,1.729323654150394
ACCESS2,0.6926528836617164,4.7703635944560885,3.479331650225719
CHECKUP,0.9023893924297843,1.7227224671404406,1.3238510072402314
CHOLSCREEN,0.6710608124217974,2.231317660040553,1.6675615135005888
DENTAL,0.7396406875931099,5.96595051075685,4.577932037277429
