y_variable,feature,mean_abs_shap
ARTHRITIS,TotalPopulation,0.09355813574097493
ARTHRITIS,PercentMale,0.19179114208041148
ARTHRITIS,PercentElderly,1.8732042902290977
ARTHRITIS,PercentWhite,1.2790264943418777
ARTHRITIS,AirQuality,0.05380036826663711
ARTHRITIS,Animals,0.21588614278890672
ARTHRITIS,Building,0.24084914127422233
ARTHRITIS,CodeEnforcement,0.10159015911065646
ARTHRITIS,Construction,0.11581110381409816
ARTHRITIS,Fire,0.11479434998713664
ARTHRITIS,Flooding,0.027992880764658286
ARTHRITIS,Garbage,0.3873890760645363
ARTHRITIS,Graffiti,0.510759493817082
ARTHRITIS,HazardousMaterials,0.020543155480914614
ARTHRITIS,Homelessness,0.28192186891963716
ARTHRITIS,Household,0.12029063183699766
ARTHRITIS,IllegalDumping,0.28991492570788424
ARTHRITIS,Noise,0.15098874699082437
ARTHRITIS,Parks,0.038371313721789084
ARTHRITIS,Recycling,0.07976906929396067
ARTHRITIS,Rodents,0.14428380114651926
ARTHRITIS,Sewage,0.11710352234061705
ARTHRITIS,SnowRemoval,0.041434745245796066
ARTHRITIS,StormwaterDrainage,0.5497491645560395
ARTHRITIS,StreetConditions,0.13939854020428638
ARTHRITIS,Streetlights,0.10484833206338946
ARTHRITIS,TrafficSignals,0.046382801776074414
ARTHRITIS,Transportation,0.14830200167659607
ARTHRITIS,Trees,0.14008852524148319
ARTHRITIS,UnsanitaryConditions,0.057485839937518046
ARTHRITIS,Water,0.09024907602229999
BPHIGH,TotalPopulation,0.10131676653787636
BPHIGH,PercentMale,0.27017576790720604
BPHIGH,PercentElderly,1.7703788595847503
BPHIGH,PercentWhite,4.269140219244985
BPHIGH,AirQuality,0.16049039583059077
BPHIGH,Animals,0.42072146978334557
BPHIGH,Building,0.36584046967539285
BPHIGH,CodeEnforcement,0.2847924945626968
BPHIGH,Construction,0.09973877082392602
BPHIGH,Fire,0.12645385254475788
BPHIGH,Flooding,0.09849386935167094
BPHIGH,Garbage,0.5175497044314016
BPHIGH,Graffiti,0.37863897853592865
BPHIGH,HazardousMaterials,0.022729031269891377
BPHIGH,Homelessness,0.34119477392845593
BPHIGH,Household,0.08021808648685458
BPHIGH,IllegalDumping,0.4537999767246019
BPHIGH,Noise,0.166982564007642
BPHIGH,Parks,0.054028258216402114
BPHIGH,Recycling,0.08785901162631568
BPHIGH,Rodents,0.14774857364824154
BPHIGH,Sewage,0.24015125604802975
BPHIGH,SnowRemoval,0.05428372675583235
BPHIGH,StormwaterDrainage,0.08342423391115936
BPHIGH,StreetConditions,0.17099114363451112
BPHIGH,Streetlights,0.2744029975618633
BPHIGH,TrafficSignals,0.07147521339053489
BPHIGH,Transportation,0.2635603015840773
BPHIGH,Trees,0.23074994855357994
BPHIGH,UnsanitaryConditions,0.08619043400695572
BPHIGH,Water,0.1003168060723945
CANCER,TotalPopulation,0.02762676707591859
CANCER,PercentMale,0.030840225260548183
CANCER,PercentElderly,0.8560974312499725
CANCER,PercentWhite,0.30281013475593765
CANCER,AirQuality,0.009813746820167607
CANCER,Animals,0.032191294509140246
CANCER,Building,0.020086973705449488
CANCER,CodeEnforcement,0.04150920492193057
CANCER,Construction,0.022853874383339284
CANCER,Fire,0.014570656812915184
CANCER,Flooding,0.008148914918819037
CANCER,Garbage,0.05968659104816778
CANCER,Graffiti,0.18589222504034575
CANCER,HazardousMaterials,0.005098830581452278
CANCER,Homelessness,0.02809652878724701
CANCER,Household,0.014499670022647671
CANCER,IllegalDumping,0.033833298485197796
CANCER,Noise,0.053873701412995426
CANCER,Parks,0.010743623059338585
CANCER,Recycling,0.029600308227411786
CANCER,Rodents,0.05036401383675633
CANCER,Sewage,0.024954090286187836
CANCER,SnowRemoval,0.007495329472194246
CANCER,StormwaterDrainage,0.04387531142309671
CANCER,StreetConditions,0.016454800488034015
CANCER,Streetlights,0.04191690985355097
CANCER,TrafficSignals,0.013613933342356383
CANCER,Transportation,0.020528122387308004
CANCER,Trees,0.04431186054227048
CANCER,UnsanitaryConditions,0.007222468387613641
CANCER,Water,0.013100505026903103
CASTHMA,TotalPopulation,0.021008777875280417
CASTHMA,PercentMale,0.169361778792765
CASTHMA,PercentElderly,0.20648465438691077
CASTHMA,PercentWhite,0.8492618553528327
CASTHMA,AirQuality,0.016447676351716813
CASTHMA,Animals,0.08000057103992411
CASTHMA,Building,0.21372512330576354
CASTHMA,CodeEnforcement,0.026309917317772567
CASTHMA,Construction,0.18850236094665257
CASTHMA,Fire,0.03497739173908464
CASTHMA,Flooding,0.02113797006624301
CASTHMA,Garbage,0.04940641192565797
CASTHMA,Graffiti,0.04431375749109624
CASTHMA,HazardousMaterials,0.014389929714798855
CASTHMA,Homelessness,0.10648760850737922
CASTHMA,Household,0.03674563299605644
CASTHMA,IllegalDumping,0.1694728228192904
CASTHMA,Noise,0.06178467958007964
CASTHMA,Parks,0.015448407618598243
CASTHMA,Recycling,0.047617907090214094
CASTHMA,Rodents,0.03188784045126353
CASTHMA,Sewage,0.019604878544115422
CASTHMA,SnowRemoval,0.01692828919702605
CASTHMA,StormwaterDrainage,0.0624359867318813
CASTHMA,StreetConditions,0.053592490274761005
CASTHMA,Streetlights,0.06451790666281677
CASTHMA,TrafficSignals,0.02954986445068747
CASTHMA,Transportation,0.024118798213919584
CASTHMA,Trees,0.13593008263223103
CASTHMA,UnsanitaryConditions,0.10969346341210506
CASTHMA,Water,0.07947813960606623
CHD,TotalPopulation,0.031042211833124788
CHD,PercentMale,0.040267144988970945
CHD,PercentElderly,0.5363612154502977
CHD,PercentWhite,0.46169784262233915
CHD,AirQuality,0.048127204393753564
CHD,Animals,0.0655600237933968
CHD,Building,0.1673242096303189
CHD,CodeEnforcement,0.05599312675131781
CHD,Construction,0.016474668912413018
CHD,Fire,0.05625518303481995
CHD,Flooding,0.019046102742583636
CHD,Garbage,0.09387605671728275
CHD,Graffiti,0.04904165371398025
CHD,HazardousMaterials,0.010414043556979136
CHD,Homelessness,0.08831915739907761
CHD,Household,0.03632693909021456
CHD,IllegalDumping,0.12038792927689608
CHD,Noise,0.029095055854147945
CHD,Parks,0.024425589456916225
CHD,Recycling,0.03719949868224565
CHD,Rodents,0.039982568344067895
CHD,Sewage,0.033441555299614116
CHD,SnowRemoval,0.020601431508491606
CHD,StormwaterDrainage,0.014440262795379466
CHD,StreetConditions,0.055984466506009724
CHD,Streetlights,0.06927366922838604
CHD,TrafficSignals,0.024456288630180713
CHD,Transportation,0.08892701538422004
CHD,Trees,0.1436751422777311
CHD,UnsanitaryConditions,0.013732399882702879
CHD,Water,0.04231612991644283
COPD,TotalPopulation,0.0488615889100212
COPD,PercentMale,0.07707287587994545
COPD,PercentElderly,0.2705630724155499
COPD,PercentWhite,0.7525624051913555
COPD,AirQuality,0.058853067023884174
COPD,Animals,0.1136831261143122
COPD,Building,0.28168424311777107
COPD,CodeEnforcement,0.10251414601211
COPD,Construction,0.0350524467543709
COPD,Fire,0.06411827308414479
COPD,Flooding,0.025467723551476373
COPD,Garbage,0.16331363990766645
COPD,Graffiti,0.0731595886834787
COPD,HazardousMaterials,0.014259822150513551
COPD,Homelessness,0.12807420323466023
COPD,Household,0.04935597371310803
COPD,IllegalDumping,0.21727797044633945
COPD,Noise,0.05457364402955049
COPD,Parks,0.03251587602160273
COPD,Recycling,0.08398553469011022
COPD,Rodents,0.050143390152884534
COPD,Sewage,0.05138070117000472
COPD,SnowRemoval,0.02831965435571504
COPD,StormwaterDrainage,0.024156337973902577
COPD,StreetConditions,0.09789943593135243
COPD,Streetlights,0.0788740133687181
COPD,TrafficSignals,0.03196529859692296
COPD,Transportation,0.14200269011990702
COPD,Trees,0.2527107692383054
COPD,UnsanitaryConditions,0.04069467331540213
COPD,Water,0.08409947628491822
DIABETES,TotalPopulation,0.06419577577340406
DIABETES,PercentMale,0.0852094327680123
DIABETES,PercentElderly,0.584208591639673
DIABETES,PercentWhite,2.5894182201012432
DIABETES,AirQuality,0.08180306813323437
DIABETES,Animals,0.17230438476489737
DIABETES,Building,0.2741666312928161
DIABETES,CodeEnforcement,0.15672005949352819
DIABETES,Construction,0.04148468803275335
DIABETES,Fire,0.08035333674855803
DIABETES,Flooding,0.0491611079803111
DIABETES,Garbage,0.10693515324047571
DIABETES,Graffiti,0.14175886777777394
DIABETES,HazardousMaterials,0.023623973521118568
DIABETES,Homelessness,0.1878773947557874
DIABETES,Household,0.04808062855239335
DIABETES,IllegalDumping,0.43594773317861685
DIABETES,Noise,0.12885183721122764
DIABETES,Parks,0.056608115870897244
DIABETES,Recycling,0.08236131939663807
DIABETES,Rodents,0.10744478629286429
DIABETES,Sewage,0.13003988971433003
DIABETES,SnowRemoval,0.03399977187825561
DIABETES,StormwaterDrainage,0.05546446178220703
DIABETES,StreetConditions,0.12296237368433749
DIABETES,Streetlights,0.10700753101312901
DIABETES,TrafficSignals,0.045826529436901624
DIABETES,Transportation,0.2759243797104941
DIABETES,Trees,0.33567139733652207
DIABETES,UnsanitaryConditions,0.07484027957059788
DIABETES,Water,0.11084599309641326
HIGHCHOL,TotalPopulation,0.08838259014595087
HIGHCHOL,PercentMale,0.12844859807181075
HIGHCHOL,PercentElderly,2.0244047830825673
HIGHCHOL,PercentWhite,0.5652340980472113
HIGHCHOL,AirQuality,0.06274817646862346
HIGHCHOL,Animals,0.18035053212890334
HIGHCHOL,Building,0.11993747674149416
HIGHCHOL,CodeEnforcement,0.2698848856669154
HIGHCHOL,Construction,0.0944930083218267
HIGHCHOL,Fire,0.04471587829476155
HIGHCHOL,Flooding,0.09586591640522343
HIGHCHOL,Garbage,0.15530328638692625
HIGHCHOL,Graffiti,0.1540330391643518
HIGHCHOL,HazardousMaterials,0.03048768969878552
HIGHCHOL,Homelessness,0.13695257499661068
HIGHCHOL,Household,0.11732492668356578
HIGHCHOL,IllegalDumping,0.18710405592839643
HIGHCHOL,Noise,0.2204938343202786
HIGHCHOL,Parks,0.05741430924310011
HIGHCHOL,Recycling,0.06417667919490413
HIGHCHOL,Rodents,0.26496763302481835
HIGHCHOL,Sewage,0.06873600184021014
HIGHCHOL,SnowRemoval,0.3197154519761332
HIGHCHOL,StormwaterDrainage,0.060205271468311096
HIGHCHOL,StreetConditions,0.36924365765538025
HIGHCHOL,Streetlights,0.1625211728429256
HIGHCHOL,TrafficSignals,0.06106220809767811
HIGHCHOL,Transportation,0.18545093147947664
HIGHCHOL,Trees,0.15566871057288428
HIGHCHOL,UnsanitaryConditions,0.11272489011171576
HIGHCHOL,Water,0.13557848209080703
KIDNEY,TotalPopulation,0.010928702463283315
KIDNEY,PercentMale,0.033655185355511964
KIDNEY,PercentElderly,0.2295805328201445
KIDNEY,PercentWhite,0.4031259548978311
KIDNEY,AirQuality,0.015568486389545083
KIDNEY,Animals,0.05833719120491947
KIDNEY,Building,0.05528554268636025
KIDNEY,CodeEnforcement,0.015263769416206066
KIDNEY,Construction,0.011067840246124215
KIDNEY,Fire,0.017646882192843428
KIDNEY,Flooding,0.009400789710687519
KIDNEY,Garbage,0.033803749201336754
KIDNEY,Graffiti,0.021948260710714148
KIDNEY,HazardousMaterials,0.004829692576985578
KIDNEY,Homelessness,0.041520971034706575
KIDNEY,Household,0.017106495816549862
KIDNEY,IllegalDumping,0.07931471933553058
KIDNEY,Noise,0.016924448215996393
KIDNEY,Parks,0.012826214490937193
KIDNEY,Recycling,0.01154304385347991
KIDNEY,Rodents,0.010766417246967976
KIDNEY,Sewage,0.01178417341142314
KIDNEY,SnowRemoval,0.010724941445326354
KIDNEY,StormwaterDrainage,0.0068684391873614055
KIDNEY,StreetConditions,0.03434723554759234
KIDNEY,Streetlights,0.02779550902354187
KIDNEY,TrafficSignals,0.011805530623782418
KIDNEY,Transportation,0.040368570605172405
KIDNEY,Trees,0.047946897559953
KIDNEY,UnsanitaryConditions,0.011347159773928302
KIDNEY,Water,0.01954378653937569
OBESITY,TotalPopulation,0.09280416627193752
OBESITY,PercentMale,0.24874396702567517
OBESITY,PercentElderly,0.7711184621344819
OBESITY,PercentWhite,3.347088121466301
OBESITY,AirQuality,0.22738602409437317
OBESITY,Animals,0.9342763984609366
OBESITY,Building,0.4098981332745798
OBESITY,CodeEnforcement,0.31179866359301106
OBESITY,Construction,0.08745216975838657
OBESITY,Fire,0.20482748082249302
OBESITY,Flooding,0.40221047533414067
OBESITY,Garbage,0.16777112557194002
OBESITY,Graffiti,0.33980531612155646
OBESITY,HazardousMaterials,0.0369282014971844
OBESITY,Homelessness,0.5241210679153282
OBESITY,Household,0.07104599695800437
OBESITY,IllegalDumping,0.7284808522056159
OBESITY,Noise,0.3038329101552928
OBESITY,Parks,0.06590320902516965
OBESITY,Recycling,0.6438017869550363
OBESITY,Rodents,0.08238601066699995
OBESITY,Sewage,0.567568884441501
OBESITY,SnowRemoval,0.05071479824562607
OBESITY,StormwaterDrainage,0.08530105525288187
OBESITY,StreetConditions,0.26897359741308813
OBESITY,Streetlights,0.29860765029229064
OBESITY,TrafficSignals,0.10743573582087614
OBESITY,Transportation,0.4681067039236516
OBESITY,Trees,0.4058024626668055
OBESITY,UnsanitaryConditions,0.20268262184389435
OBESITY,Water,0.21995159001720235
STROKE,TotalPopulation,0.016398250216526532
STROKE,PercentMale,0.05026427765642223
STROKE,PercentElderly,0.2567795373251416
STROKE,PercentWhite,0.6495386460857562
STROKE,AirQuality,0.02382550264122454
STROKE,Animals,0.06376743355920242
STROKE,Building,0.09215199838222478
STROKE,CodeEnforcement,0.046037546476751436
STROKE,Construction,0.021881216122305147
STROKE,Fire,0.027213728447345608
STROKE,Flooding,0.01341846354861525
STROKE,Garbage,0.07391571987769087
STROKE,Graffiti,0.02368122163684619
STROKE,HazardousMaterials,0.007139732801041921
STROKE,Homelessness,0.05727213205797875
STROKE,Household,0.021842472007251996
STROKE,IllegalDumping,0.10829486587050655
STROKE,Noise,0.03027466532927356
STROKE,Parks,0.012434036297122444
STROKE,Recycling,0.021172536723488174
STROKE,Rodents,0.015514079205325968
STROKE,Sewage,0.015623930051068574
STROKE,SnowRemoval,0.013816984332789523
STROKE,StormwaterDrainage,0.013881618515617037
STROKE,StreetConditions,0.03896238195883943
STROKE,Streetlights,0.029122801329669296
STROKE,TrafficSignals,0.012933633840595028
STROKE,Transportation,0.04782706913098528
STROKE,Trees,0.07172393946275465
STROKE,UnsanitaryConditions,0.022070941622153183
STROKE,Water,0.02685197931728315
BINGE,TotalPopulation,0.06541712405316938
BINGE,PercentMale,0.07267211167623795
BINGE,PercentElderly,0.8485561460226245
BINGE,PercentWhite,2.0456253035176943
BINGE,AirQuality,0.09514423220794138
BINGE,Animals,0.08062798705393773
BINGE,Building,0.08589174750276543
BINGE,CodeEnforcement,0.13902543253653527
BINGE,Construction,0.13654716490065438
BINGE,Fire,0.03234982321077594
BINGE,Flooding,0.03084702540965501
BINGE,Garbage,0.04293327813801607
BINGE,Graffiti,0.07862860710415578
BINGE,HazardousMaterials,0.01093565921290108
BINGE,Homelessness,0.13751675795445412
BINGE,Household,0.026755485872263035
BINGE,IllegalDumping,0.12711011517598028
BINGE,Noise,0.04489374581371854
BINGE,Parks,0.0616965530573728
BINGE,Recycling,0.053640271541520956
BINGE,Rodents,0.12571741720611965
BINGE,Sewage,0.16931485600510465
BINGE,SnowRemoval,0.021927772940616246
BINGE,StormwaterDrainage,0.06414413656857271
BINGE,StreetConditions,0.12073155004527458
BINGE,Streetlights,0.08455740253431336
BINGE,TrafficSignals,0.08003453272460422
BINGE,Transportation,0.31072218370008314
BINGE,Trees,0.17773153186395924
BINGE,UnsanitaryConditions,0.05375407153351973
BINGE,Water,0.04839116034364288
CSMOKING,TotalPopulation,0.13259485195451678
CSMOKING,PercentMale,0.15232145703507713
CSMOKING,PercentElderly,0.5772741530564983
CSMOKING,PercentWhite,2.531186548613071
CSMOKING,AirQuality,0.14297723455692962
CSMOKING,Animals,0.23643655171990186
CSMOKING,Building,0.7218832738047649
CSMOKING,CodeEnforcement,0.2559149675263562
CSMOKING,Construction,0.10316723022968237
CSMOKING,Fire,0.2528006709502151
CSMOKING,Flooding,0.06621117996989975
CSMOKING,Garbage,0.5352238120936965
CSMOKING,Graffiti,0.16750775710438584
CSMOKING,HazardousMaterials,0.030368623417719287
CSMOKING,Homelessness,0.22101627552031933
CSMOKING,Household,0.08514804923594729
CSMOKING,IllegalDumping,0.6596321294418995
CSMOKING,Noise,0.1436567970208761
CSMOKING,Parks,0.06440745428405871
CSMOKING,Recycling,0.14802049804064024
CSMOKING,Rodents,0.092812906541856
CSMOKING,Sewage,0.12470868969955229
CSMOKING,SnowRemoval,0.08688637980396496
CSMOKING,StormwaterDrainage,0.2526063257785916
CSMOKING,StreetConditions,0.2188434620538305
CSMOKING,Streetlights,0.17459140065772857
CSMOKING,TrafficSignals,0.15716955998297993
CSMOKING,Transportation,0.2664259537371489
CSMOKING,Trees,0.6492877494586662
CSMOKING,UnsanitaryConditions,0.08777348399905621
CSMOKING,Water,0.18479162476984778
LPA,TotalPopulation,0.1487490080999995
LPA,PercentMale,0.20808870134857543
LPA,PercentElderly,0.406091434776395
LPA,PercentWhite,5.073618256727342
LPA,AirQuality,0.23179861024615978
LPA,Animals,0.42544707107315977
LPA,Building,1.6150488143780322
LPA,CodeEnforcement,0.2423333748456118
LPA,Construction,0.10635299101001787
LPA,Fire,0.4042708920279159
LPA,Flooding,0.18476006239647935
LPA,Garbage,0.377806649393872
LPA,Graffiti,0.46945051806545185
LPA,HazardousMaterials,0.04483183751286135
LPA,Homelessness,0.4224291810008561
LPA,Household,0.16744556251904014
LPA,IllegalDumping,0.9288572521217103
LPA,Noise,0.4093789828466382
LPA,Parks,0.1424035968880665
LPA,Recycling,0.30663475437525906
LPA,Rodents,0.1814336216901578
LPA,Sewage,0.36661618322286127
LPA,SnowRemoval,0.10028915587165117
LPA,StormwaterDrainage,0.14262008220450692
LPA,StreetConditions,0.17831941057590997
LPA,Streetlights,0.17331593389185146
LPA,TrafficSignals,0.2214325728108162
LPA,Transportation,0.7493022273246026
LPA,Trees,1.0171971514563904
LPA,UnsanitaryConditions,0.08988941884573046
